EmployeeID,ActionType,TableName,ActionDate,Description
30,APPROVE,Devices,2024-08-23 02:16:00,Approved transaction
36,LOGIN,FraudAlerts,2024-11-25 11:22:00,Employee login
31,LOGIN,Beneficiaries,2024-08-28 05:35:00,Employee login
40,APPROVE,FraudAlerts,2024-01-27 22:07:00,Approved transaction
24,UNBLOCK ACCOUNT,FraudAlerts,2024-06-29 08:30:00,Unblocked verified account
8,UNBLOCK ACCOUNT,Transactions,2024-10-11 01:20:00,Unblocked verified account
39,UPDATE,Beneficiaries,2024-05-19 18:27:00,Updated customer details
20,UPDATE,Customers,2024-04-24 20:00:00,Updated customer details
30,LOGIN,Accounts,2024-10-18 01:06:00,Employee login
28,UNBLOCK ACCOUNT,FraudAlerts,2024-05-28 20:54:00,Unblocked verified account
21,DELETE,Accounts,2024-07-06 17:14:00,Deleted inactive record
11,LOGIN,Cards,2024-12-06 15:07:00,Employee login
18,INSERT,Customers,2024-06-04 21:33:00,Inserted new record
26,DELETE,Accounts,2024-09-28 22:21:00,Deleted inactive record
3,UPDATE,Beneficiaries,2024-10-23 05:11:00,Updated customer details
42,UNBLOCK ACCOUNT,Transactions,2024-08-05 14:10:00,Unblocked verified account
38,UPDATE,Transactions,2024-11-07 19:10:00,Updated customer details
45,UPDATE,Devices,2024-09-16 08:32:00,Updated customer details
43,DELETE,Cards,2024-09-30 14:23:00,Deleted inactive record
48,LOGIN,Devices,2024-10-16 06:34:00,Employee login
2,UNBLOCK ACCOUNT,Cards,2024-11-07 05:30:00,Unblocked verified account
35,UPDATE,Customers,2024-11-18 14:17:00,Updated customer details
4,UNBLOCK ACCOUNT,Devices,2024-08-02 08:04:00,Unblocked verified account
41,UPDATE,Customers,2024-07-05 16:15:00,Updated customer details
4,DELETE,Beneficiaries,2024-01-14 12:01:00,Deleted inactive record
26,UPDATE,Cards,2024-05-26 23:34:00,Updated customer details
19,APPROVE,Beneficiaries,2024-03-29 23:45:00,Approved transaction
21,APPROVE,Beneficiaries,2024-01-27 18:20:00,Approved transaction
25,LOGIN,Accounts,2024-10-06 07:10:00,Employee login
38,UPDATE,Devices,2024-06-16 17:13:00,Updated customer details
4,LOGIN,Cards,2024-02-01 11:10:00,Employee login
19,UNBLOCK ACCOUNT,Devices,2024-04-17 16:56:00,Unblocked verified account
44,UPDATE,Customers,2024-05-17 03:54:00,Updated customer details
16,DELETE,Customers,2024-12-11 15:52:00,Deleted inactive record
31,UNBLOCK ACCOUNT,Beneficiaries,2024-06-08 03:54:00,Unblocked verified account
31,LOGIN,Transactions,2024-04-26 09:17:00,Employee login
27,INSERT,Devices,2024-08-13 18:26:00,Inserted new record
44,DELETE,Transactions,2024-04-15 18:50:00,Deleted inactive record
29,DELETE,Transactions,2024-08-10 11:18:00,Deleted inactive record
44,DELETE,Devices,2024-08-18 09:09:00,Deleted inactive record
10,LOGIN,FraudAlerts,2024-06-10 15:09:00,Employee login
37,INSERT,Beneficiaries,2024-02-07 05:17:00,Inserted new record
23,DELETE,Transactions,2024-09-14 12:02:00,Deleted inactive record
10,INSERT,Beneficiaries,2024-03-23 10:28:00,Inserted new record
19,DELETE,Cards,2024-04-26 15:31:00,Deleted inactive record
6,APPROVE,Transactions,2024-07-10 07:31:00,Approved transaction
45,LOGIN,Customers,2024-01-09 19:30:00,Employee login
13,LOGIN,Beneficiaries,2024-03-21 01:21:00,Employee login
46,BLOCK ACCOUNT,Cards,2024-02-04 15:07:00,Blocked suspicious account
9,APPROVE,Customers,2024-11-11 23:28:00,Approved transaction
7,LOGIN,Accounts,2024-11-22 20:20:00,Employee login
4,BLOCK ACCOUNT,Cards,2024-06-08 05:29:00,Blocked suspicious account
14,APPROVE,FraudAlerts,2024-08-29 00:50:00,Approved transaction
35,UNBLOCK ACCOUNT,Beneficiaries,2024-04-07 03:22:00,Unblocked verified account
47,BLOCK ACCOUNT,Transactions,2024-09-12 07:25:00,Blocked suspicious account
39,INSERT,Devices,2024-02-27 05:44:00,Inserted new record
1,APPROVE,Beneficiaries,2024-07-02 02:43:00,Approved transaction
37,LOGIN,FraudAlerts,2024-06-18 19:23:00,Employee login
2,UPDATE,Devices,2024-01-12 18:47:00,Updated customer details
47,LOGIN,Devices,2024-06-14 23:47:00,Employee login
12,UNBLOCK ACCOUNT,Beneficiaries,2024-09-04 23:36:00,Unblocked verified account
2,APPROVE,Transactions,2024-09-16 20:52:00,Approved transaction
46,LOGIN,Devices,2024-07-28 09:29:00,Employee login
40,BLOCK ACCOUNT,Accounts,2024-03-27 11:11:00,Blocked suspicious account
7,DELETE,Beneficiaries,2024-02-21 13:29:00,Deleted inactive record
12,LOGIN,Devices,2024-01-14 21:17:00,Employee login
37,BLOCK ACCOUNT,Devices,2024-10-29 16:10:00,Blocked suspicious account
8,UPDATE,Cards,2024-01-10 06:24:00,Updated customer details
