CustomerID,DeviceType,DeviceName,OperatingSystem,IPAddress,MACAddress,IsTrusted
1,Mobile,Vivo V30,Android,10.231.24.166,E0:67:18:A9:DF:63,1
2,Laptop,Lenovo ThinkPad,Windows,10.224.116.118,08:AC:BA:92:8D:5E,1
3,Tablet,iPad Air,iPadOS,10.88.172.30,4E:4E:15:32:5D:3A,1
4,Laptop,Dell Inspiron 15,Windows,10.99.163.102,89:86:72:FC:2D:EB,1
5,Laptop,Dell Inspiron 15,Windows,10.109.64.7,89:AA:9D:F7:B0:82,1
6,Laptop,MacBook Air M3,macOS,10.112.176.91,6C:00:CB:EE:C4:62,1
7,Laptop,HP Pavilion,Windows,10.231.122.118,C8:5A:AD:92:3C:78,1
8,Mobile,iPhone 15,iOS,10.64.143.208,89:9C:3E:2F:E8:87,1
9,Laptop,Dell Inspiron 15,Windows,10.133.120.242,AF:4F:1D:96:59:EF,1
10,Laptop,Lenovo ThinkPad,Windows,10.216.247.127,72:34:EC:E3:DC:E4,1
11,Laptop,Lenovo ThinkPad,Windows,10.176.27.9,B0:9F:D7:DB:0C:7B,1
12,Laptop,Dell Inspiron 15,Windows,10.31.20.126,1C:C5:BD:56:96:80,1
13,Laptop,HP Pavilion,Windows,10.153.211.150,B9:A2:89:70:E4:1C,1
14,Tablet,iPad Air,iPadOS,10.2.115.31,4C:EC:F1:68:B8:0A,1
15,Tablet,iPad Air,iPadOS,10.61.192.109,06:42:BF:EB:42:0E,1
16,Mobile,Vivo V30,Android,10.101.154.151,16:63:76:BF:1A:56,1
17,Mobile,Samsung Galaxy S24,Android,10.49.43.229,13:6D:3D:68:ED:76,1
18,Mobile,iPhone 15,iOS,10.27.255.153,A0:92:4E:A5:A4:40,1
19,Laptop,HP Pavilion,Windows,10.156.5.40,ED:64:FA:B5:1A:6E,1
20,Mobile,Vivo V30,Android,10.224.57.77,86:35:87:D9:27:FE,1
21,Mobile,iPhone 15,iOS,10.29.106.121,BE:BA:0F:48:49:57,1
22,Mobile,Vivo V30,Android,10.220.163.196,0B:C5:E2:12:AB:9D,1
23,Laptop,Dell Inspiron 15,Windows,10.82.125.66,B3:25:31:3C:70:29,1
24,Mobile,Vivo V30,Android,10.35.128.107,B3:5C:68:93:44:1F,1
25,Laptop,MacBook Air M3,macOS,10.143.70.86,FC:D9:17:09:01:0F,1
26,Mobile,iPhone 15,iOS,10.177.81.247,7D:76:78:AA:D0:23,1
27,Tablet,iPad Air,iPadOS,10.183.243.100,A6:F7:1E:02:0E:9C,1
28,Mobile,iPhone 15,iOS,10.235.105.26,35:F5:D4:B0:90:30,1
29,Laptop,HP Pavilion,Windows,10.229.53.222,72:10:43:8E:50:6F,1
30,Laptop,Lenovo ThinkPad,Windows,10.130.36.188,80:5F:FA:59:87:FE,1
31,Mobile,iPhone 15,iOS,10.123.219.96,6A:46:39:53:88:42,1
32,Laptop,MacBook Air M3,macOS,10.182.162.81,A1:DE:88:B7:77:63,1
33,Tablet,iPad Air,iPadOS,10.51.118.220,18:89:DA:C0:C0:54,1
34,Laptop,Dell Inspiron 15,Windows,10.104.236.160,C7:AA:5E:76:CA:5F,1
35,Mobile,OnePlus 12,Android,10.117.20.228,20:91:DC:59:F5:4F,1
36,Mobile,iPhone 15,iOS,10.160.187.186,53:54:C2:15:D3:B7,1
37,Mobile,Samsung Galaxy S24,Android,10.193.174.140,EC:D1:FB:2B:04:B4,1
38,Mobile,Samsung Galaxy S24,Android,10.157.152.161,EE:09:0A:CD:BD:36,1
39,Mobile,OnePlus 12,Android,10.60.35.4,7C:EF:87:F9:DB:EF,1
40,Laptop,Lenovo ThinkPad,Windows,10.213.194.59,25:E3:74:66:44:2D,1
41,Laptop,Dell Inspiron 15,Windows,10.54.71.84,6B:39:CC:68:22:5D,1
42,Mobile,Samsung Galaxy S24,Android,10.69.218.111,AA:2C:61:67:2D:42,1
43,Mobile,Vivo V30,Android,10.218.171.234,A4:DF:5D:7F:D4:72,1
44,Laptop,HP Pavilion,Windows,10.114.57.41,0D:1D:B8:48:52:AC,1
45,Laptop,MacBook Air M3,macOS,10.50.83.224,B0:23:83:22:E1:17,1
46,Laptop,Lenovo ThinkPad,Windows,10.132.231.238,D6:AA:3E:86:FE:59,1
47,Tablet,iPad Air,iPadOS,10.76.78.112,B7:15:D7:55:1A:1F,1
48,Mobile,iPhone 15,iOS,10.156.2.18,92:FB:AD:90:25:7E,1
49,Laptop,MacBook Air M3,macOS,10.73.230.31,A2:37:43:68:5C:75,1
50,Mobile,iPhone 15,iOS,10.174.63.97,FC:C2:49:3D:42:13,1
51,Mobile,Samsung Galaxy S24,Android,10.232.87.162,D3:08:E0:ED:57:FE,1
52,Laptop,Dell Inspiron 15,Windows,10.223.227.127,66:BD:5F:09:37:87,1
53,Laptop,MacBook Air M3,macOS,10.4.206.79,BE:82:FD:C7:4A:7F,1
54,Mobile,OnePlus 12,Android,10.30.35.114,10:2D:7E:65:8C:B5,1
55,Laptop,Lenovo ThinkPad,Windows,10.8.169.1,25:0B:B6:71:1A:3D,1
56,Mobile,Samsung Galaxy S24,Android,10.63.118.193,C5:5B:E2:6E:89:81,1
57,Laptop,Dell Inspiron 15,Windows,10.225.249.137,ED:F7:E0:DE:1D:44,1
58,Mobile,Vivo V30,Android,10.121.157.98,32:3B:ED:E4:0A:29,1
59,Mobile,iPhone 15,iOS,10.94.116.151,D6:28:4B:58:0B:7F,1
60,Mobile,Vivo V30,Android,10.250.30.139,5D:B4:98:98:46:3A,1
61,Laptop,MacBook Air M3,macOS,10.216.232.18,25:45:F4:0A:D7:3E,1
62,Laptop,Dell Inspiron 15,Windows,10.188.53.110,54:1E:A3:71:AC:8D,1
63,Laptop,MacBook Air M3,macOS,10.55.97.102,BB:08:F6:6A:AA:6A,1
64,Laptop,Lenovo ThinkPad,Windows,10.11.12.231,46:47:34:4C:8D:A0,1
65,Laptop,MacBook Air M3,macOS,10.24.1.57,EC:39:F3:9F:1A:72,1
66,Mobile,OnePlus 12,Android,10.14.48.171,41:B2:0C:BA:41:1C,1
67,Laptop,Dell Inspiron 15,Windows,10.89.119.165,24:C4:57:9D:B8:AA,1
68,Mobile,Samsung Galaxy S24,Android,10.102.184.62,1F:4D:20:62:9F:F8,1
69,Mobile,Samsung Galaxy S24,Android,10.114.202.130,25:20:2C:0C:3F:E9,1
70,Mobile,Vivo V30,Android,10.250.226.158,BB:B6:E6:28:B3:E2,1
71,Laptop,HP Pavilion,Windows,10.137.205.95,0C:E0:F0:58:C6:9C,1
72,Mobile,OnePlus 12,Android,10.28.179.106,E4:4B:71:23:66:78,1
73,Laptop,Lenovo ThinkPad,Windows,10.46.71.223,DB:74:AE:A4:E0:13,1
74,Mobile,iPhone 15,iOS,10.75.210.211,D2:02:4C:94:F4:84,1
75,Mobile,Samsung Galaxy S24,Android,10.199.48.25,6E:05:AC:F6:BC:F1,1
76,Laptop,HP Pavilion,Windows,10.127.32.251,0B:67:C1:43:0B:FF,1
77,Tablet,iPad Air,iPadOS,10.26.7.241,0A:F1:0D:10:B8:C5,1
78,Laptop,Dell Inspiron 15,Windows,10.228.215.133,97:89:04:EA:12:E9,1
79,Mobile,Samsung Galaxy S24,Android,10.98.162.228,A1:79:4B:7C:0F:0F,1
80,Laptop,Lenovo ThinkPad,Windows,10.253.1.155,A1:86:00:2A:A2:7D,1
81,Laptop,MacBook Air M3,macOS,10.245.27.12,69:AB:4E:DC:F2:EB,1
82,Mobile,iPhone 15,iOS,10.194.179.14,11:4D:83:73:C4:EA,1
83,Laptop,MacBook Air M3,macOS,10.34.246.156,FB:E1:68:3E:4D:46,1
84,Laptop,Lenovo ThinkPad,Windows,10.106.197.87,0A:A0:CB:54:51:DD,1
85,Laptop,MacBook Air M3,macOS,10.226.29.220,E9:57:3B:23:F1:01,1
86,Mobile,Samsung Galaxy S24,Android,10.120.59.142,1D:E8:41:C2:E8:E9,1
87,Laptop,HP Pavilion,Windows,10.215.79.233,41:4C:AC:9B:8A:17,1
88,Laptop,Dell Inspiron 15,Windows,10.190.163.55,4C:B4:8D:EE:1A:DD,1
89,Mobile,OnePlus 12,Android,10.133.12.188,56:DD:9D:F1:E9:0A,1
90,Mobile,Samsung Galaxy S24,Android,10.198.109.72,D9:6B:9D:79:3F:5A,1
91,Mobile,Vivo V30,Android,10.158.152.81,19:05:35:68:08:31,1
92,Mobile,OnePlus 12,Android,10.168.164.156,F6:AD:0C:F7:39:80,1
93,Laptop,HP Pavilion,Windows,10.232.187.83,0A:9D:3E:79:1F:35,1
94,Laptop,MacBook Air M3,macOS,10.108.42.2,62:A8:4B:22:B6:43,1
95,Laptop,MacBook Air M3,macOS,10.176.155.25,EC:72:91:6C:A7:58,1
96,Tablet,iPad Air,iPadOS,10.55.238.118,AF:95:40:44:BD:9D,1
97,Tablet,iPad Air,iPadOS,10.14.146.235,7D:F9:2E:90:21:68,1
98,Mobile,iPhone 15,iOS,10.116.52.53,4B:2E:46:34:75:FC,1
99,Tablet,iPad Air,iPadOS,10.179.103.198,2C:6D:0D:0F:3B:4D,1
100,Mobile,Vivo V30,Android,10.119.11.83,10:F7:19:FC:6E:12,1
101,Laptop,Dell Inspiron 15,Windows,10.14.79.40,21:E0:FC:E2:44:17,1
102,Mobile,iPhone 15,iOS,10.212.16.11,A8:25:EB:97:8C:28,1
103,Laptop,HP Pavilion,Windows,10.95.84.83,D5:CE:0A:6A:72:85,1
104,Mobile,Samsung Galaxy S24,Android,10.219.57.102,C2:25:B7:B8:20:10,1
105,Mobile,iPhone 15,iOS,10.121.168.198,33:96:45:F5:2F:76,1
106,Laptop,Dell Inspiron 15,Windows,10.164.143.83,61:AC:AF:EA:76:76,1
107,Mobile,Vivo V30,Android,10.102.170.225,0C:41:06:30:98:A4,1
108,Tablet,iPad Air,iPadOS,10.78.221.94,3E:68:DE:E0:F3:83,1
109,Laptop,HP Pavilion,Windows,10.192.206.33,7A:6F:2C:6B:3C:B4,1
110,Tablet,iPad Air,iPadOS,10.113.180.113,E8:F3:8F:46:A3:FE,1
111,Laptop,HP Pavilion,Windows,10.60.80.170,F3:6A:EA:CF:AF:9A,1
112,Mobile,iPhone 15,iOS,10.68.82.107,D7:EF:BC:E1:3B:B5,1
113,Laptop,HP Pavilion,Windows,10.202.102.118,1C:54:48:97:00:04,1
114,Laptop,Lenovo ThinkPad,Windows,10.174.1.210,27:1D:88:BC:C5:73,1
115,Mobile,Samsung Galaxy S24,Android,10.129.119.224,D5:A6:62:E7:28:14,1
116,Mobile,Vivo V30,Android,10.212.20.38,6B:4A:BE:00:68:4F,1
117,Tablet,iPad Air,iPadOS,10.159.131.74,81:EE:99:2F:69:DE,1
118,Mobile,OnePlus 12,Android,10.204.247.231,06:C9:42:46:2E:79,1
119,Tablet,iPad Air,iPadOS,10.71.186.148,45:08:0F:6E:B1:C1,1
120,Tablet,iPad Air,iPadOS,10.63.109.13,19:4D:0F:68:50:F5,1
121,Mobile,iPhone 15,iOS,10.242.183.173,90:D5:7A:D8:47:84,1
122,Mobile,OnePlus 12,Android,10.147.140.59,D0:F6:CB:54:7E:0A,1
123,Mobile,iPhone 15,iOS,10.84.111.240,C6:BE:75:BF:49:2E,1
124,Mobile,OnePlus 12,Android,10.142.98.44,CC:CF:74:7D:C1:8A,1
125,Laptop,Dell Inspiron 15,Windows,10.4.30.172,82:5D:0D:02:04:03,1
126,Laptop,Dell Inspiron 15,Windows,10.44.14.84,A0:22:85:82:30:32,1
127,Laptop,Dell Inspiron 15,Windows,10.181.125.150,FB:82:64:A3:85:77,1
128,Laptop,MacBook Air M3,macOS,10.77.32.200,42:43:34:65:11:23,1
129,Mobile,Vivo V30,Android,10.80.77.103,BB:67:A2:DC:E5:0D,1
130,Mobile,Vivo V30,Android,10.159.210.58,E2:7F:FD:04:0A:30,1
131,Laptop,HP Pavilion,Windows,10.31.249.219,C8:09:4D:AB:59:16,1
132,Mobile,iPhone 15,iOS,10.101.19.245,13:BF:C0:0B:74:8A,1
133,Laptop,MacBook Air M3,macOS,10.97.204.247,C6:BE:5C:3B:80:88,1
134,Laptop,Dell Inspiron 15,Windows,10.23.210.192,B2:D1:7F:2A:77:C0,1
135,Laptop,MacBook Air M3,macOS,10.223.54.133,B4:76:1B:59:8E:2D,1
136,Laptop,Dell Inspiron 15,Windows,10.246.59.120,28:C3:17:BA:88:2A,1
137,Laptop,Dell Inspiron 15,Windows,10.221.161.134,92:2B:A2:3A:38:FD,1
138,Laptop,MacBook Air M3,macOS,10.162.192.111,9E:BE:7D:E1:BC:06,1
139,Mobile,iPhone 15,iOS,10.72.122.204,86:1D:D4:EB:8D:15,1
140,Mobile,Samsung Galaxy S24,Android,10.176.26.167,48:49:2F:E3:7A:EE,1
141,Mobile,Vivo V30,Android,10.235.44.80,F0:92:79:D7:9D:89,1
142,Mobile,Vivo V30,Android,10.111.186.93,4E:57:A2:5F:CE:45,1
143,Laptop,HP Pavilion,Windows,10.191.234.208,0A:92:3E:9B:4B:4F,1
144,Laptop,MacBook Air M3,macOS,10.21.175.126,30:27:F2:D1:DA:4F,1
145,Laptop,MacBook Air M3,macOS,10.232.172.31,06:CA:62:9D:5D:46,1
146,Mobile,iPhone 15,iOS,10.70.42.156,2F:20:83:98:6E:C3,1
147,Laptop,Dell Inspiron 15,Windows,10.12.135.158,13:AD:FE:69:75:C7,1
148,Tablet,iPad Air,iPadOS,10.62.54.137,0C:CD:7F:1D:C7:0D,1
149,Tablet,iPad Air,iPadOS,10.86.4.43,0D:F1:44:63:18:C0,1
150,Mobile,OnePlus 12,Android,10.200.40.29,3C:D3:E8:AC:50:7B,1
151,Mobile,iPhone 15,iOS,10.138.58.63,BF:96:B7:15:1E:8A,1
152,Mobile,Vivo V30,Android,10.85.135.58,74:D2:75:49:4C:0B,1
153,Mobile,iPhone 15,iOS,10.211.157.231,97:14:35:8D:EB:4F,1
154,Laptop,MacBook Air M3,macOS,10.76.146.77,5D:A1:76:C8:94:BE,1
155,Laptop,Lenovo ThinkPad,Windows,10.79.85.204,93:B6:30:28:09:7D,1
156,Mobile,OnePlus 12,Android,10.244.166.24,C5:17:1E:50:8A:B4,1
157,Tablet,iPad Air,iPadOS,10.129.132.8,B7:0A:1C:1C:99:0C,1
158,Mobile,Samsung Galaxy S24,Android,10.156.255.193,DF:06:49:3B:55:6F,1
159,Mobile,Vivo V30,Android,10.198.239.241,BF:72:81:14:BC:42,1
160,Laptop,Lenovo ThinkPad,Windows,10.91.24.143,B6:B2:E7:F9:5D:8B,1
161,Tablet,iPad Air,iPadOS,10.52.235.210,E0:D7:A3:E1:5F:C4,1
162,Mobile,Samsung Galaxy S24,Android,10.3.116.60,73:A7:A4:41:D7:A1,1
163,Tablet,iPad Air,iPadOS,10.190.34.194,B9:EC:8B:C8:EF:42,1
164,Mobile,iPhone 15,iOS,10.251.119.145,E6:E3:27:25:1A:93,1
165,Mobile,OnePlus 12,Android,10.179.73.93,4A:F8:31:5D:85:88,1
166,Laptop,MacBook Air M3,macOS,10.4.210.102,ED:7A:4F:85:3D:ED,1
167,Mobile,iPhone 15,iOS,10.98.196.13,29:45:30:1A:A0:DD,1
168,Mobile,Samsung Galaxy S24,Android,10.123.107.61,AC:E4:7D:BC:59:A8,1
169,Laptop,MacBook Air M3,macOS,10.101.233.28,7B:44:8E:70:74:87,1
170,Mobile,iPhone 15,iOS,10.117.127.46,0D:E2:E6:49:70:70,1
171,Mobile,Vivo V30,Android,10.64.211.113,CB:58:32:70:08:9F,1
172,Mobile,OnePlus 12,Android,10.143.58.103,A8:78:37:D4:E9:8A,1
173,Tablet,iPad Air,iPadOS,10.95.69.23,E6:D9:F1:1C:B8:A8,1
174,Mobile,Samsung Galaxy S24,Android,10.7.190.129,9D:C4:C0:71:25:E8,1
175,Mobile,OnePlus 12,Android,10.150.240.141,D4:D1:C6:26:56:C5,1
176,Laptop,Dell Inspiron 15,Windows,10.133.21.51,92:1E:B2:78:6D:5C,1
177,Laptop,Dell Inspiron 15,Windows,10.250.80.228,13:99:E6:87:E4:50,1
178,Tablet,iPad Air,iPadOS,10.103.219.11,49:A8:1D:EF:81:9B,1
179,Laptop,Lenovo ThinkPad,Windows,10.141.56.103,C9:72:AE:B2:00:7A,1
180,Mobile,Vivo V30,Android,10.237.186.159,50:24:85:3C:00:9B,1
181,Mobile,OnePlus 12,Android,10.190.242.111,44:22:CD:8A:9C:87,1
182,Mobile,iPhone 15,iOS,10.196.107.104,B9:AB:AB:3D:98:62,1
183,Mobile,OnePlus 12,Android,10.106.219.98,EB:FF:AF:50:5B:2E,1
184,Mobile,OnePlus 12,Android,10.37.194.39,44:70:47:5E:2D:99,1
185,Mobile,Samsung Galaxy S24,Android,10.147.175.221,C2:2E:13:7A:09:79,1
186,Tablet,iPad Air,iPadOS,10.38.98.220,A3:4D:08:ED:FE:2A,1
187,Mobile,OnePlus 12,Android,10.6.94.147,56:9E:A3:E3:3D:19,1
188,Mobile,iPhone 15,iOS,10.88.6.140,D9:37:87:45:EF:87,1
189,Laptop,MacBook Air M3,macOS,10.152.120.170,8F:82:AF:B4:C2:BA,1
190,Mobile,Vivo V30,Android,10.65.18.124,F5:10:8A:3D:4A:F6,1
191,Tablet,iPad Air,iPadOS,10.180.243.49,42:2B:5D:93:18:45,1
192,Mobile,Vivo V30,Android,10.48.141.250,DB:CF:89:5C:75:0A,1
193,Tablet,iPad Air,iPadOS,10.90.113.224,3D:4A:A2:55:A3:04,1
194,Mobile,Samsung Galaxy S24,Android,10.29.88.127,60:9A:DF:BD:EF:20,1
195,Mobile,Samsung Galaxy S24,Android,10.202.173.219,4F:50:7A:14:4E:09,1
196,Tablet,iPad Air,iPadOS,10.214.135.213,83:4D:8D:EC:34:C1,1
197,Mobile,OnePlus 12,Android,10.238.95.210,8C:16:FD:50:84:33,1
198,Laptop,Dell Inspiron 15,Windows,10.31.48.149,2A:C0:A4:C8:D9:BD,1
199,Laptop,Lenovo ThinkPad,Windows,10.167.85.46,69:A4:D8:45:03:02,1
200,Mobile,OnePlus 12,Android,10.222.10.220,A3:EE:C5:C7:DB:FB,1
201,Tablet,iPad Air,iPadOS,10.210.0.233,CE:99:96:F7:A0:56,1
202,Laptop,HP Pavilion,Windows,10.239.220.162,27:74:90:AC:C2:65,1
203,Laptop,Dell Inspiron 15,Windows,10.18.90.196,2D:67:E8:72:13:06,1
204,Tablet,iPad Air,iPadOS,10.0.75.176,84:95:37:8B:BA:AE,1
205,Laptop,HP Pavilion,Windows,10.9.191.159,9D:DD:79:19:2B:FB,1
