TransactionID,RuleID,AlertDate,RiskScore,AlertStatus,Remarks
3628,7,2024-02-28 14:39:00,78,Pending,Rule matched during monitoring
4126,3,2024-04-13 03:21:00,84,Investigated,Multiple transactions in short time
394,7,2024-04-04 15:28:00,85,Investigated,Rule matched during monitoring
3914,2,2024-03-28 10:37:00,97,Confirmed,Rule matched during monitoring
3924,2,2024-07-27 19:43:00,80,Investigated,High amount transaction detected
4480,7,2025-03-14 15:51:00,73,Pending,Multiple transactions in short time
3897,2,2025-01-31 08:13:00,89,Investigated,Rule matched during monitoring
910,2,2024-03-14 16:29:00,98,Confirmed,High amount transaction detected
4951,1,2025-01-15 02:24:00,97,Confirmed,Multiple transactions in short time
438,6,2025-03-07 04:20:00,88,Investigated,Suspicious midnight transaction
1259,4,2025-04-23 12:48:00,84,Investigated,Suspicious midnight transaction
570,1,2024-04-15 03:21:00,75,Pending,High amount transaction detected
4073,6,2025-01-16 10:55:00,82,Investigated,Suspicious midnight transaction
3110,3,2025-02-15 19:21:00,90,Confirmed,High amount transaction detected
3121,8,2024-09-09 01:21:00,76,Pending,Suspicious midnight transaction
3148,2,2024-11-14 01:46:00,67,False Alarm,Rule matched during monitoring
489,5,2024-08-29 03:44:00,69,False Alarm,Multiple transactions in short time
4823,8,2024-01-05 04:36:00,98,Confirmed,Rule matched during monitoring
1561,3,2024-06-10 22:16:00,93,Confirmed,Transaction from untrusted device
2195,1,2025-04-03 14:18:00,81,Investigated,Rule matched during monitoring
574,4,2024-07-21 23:14:00,65,False Alarm,Multiple transactions in short time
4894,8,2024-06-19 17:24:00,95,Confirmed,Foreign location activity
3277,3,2024-04-17 13:11:00,66,False Alarm,Multiple transactions in short time
579,5,2024-02-09 23:00:00,63,False Alarm,Transaction from untrusted device
2009,5,2024-04-04 19:21:00,92,Confirmed,Foreign location activity
2526,6,2024-12-14 22:27:00,77,Pending,Transaction from untrusted device
4770,7,2024-09-27 02:26:00,78,Pending,Multiple transactions in short time
3981,5,2025-03-11 05:45:00,73,Pending,Suspicious midnight transaction
3462,2,2024-06-26 23:13:00,92,Confirmed,Suspicious midnight transaction
3753,4,2024-04-04 12:09:00,68,False Alarm,High amount transaction detected
3262,1,2024-12-10 00:28:00,70,Pending,High amount transaction detected
1641,7,2024-02-01 00:57:00,92,Confirmed,Suspicious midnight transaction
