AccountID,CustomerID,TypeID,Amount,TransactionDate,DeviceID,ATMID,LocationID,TransactionMode,Status,IsFraud,FraudReason
488,488,1,88582.05,2024-06-05 20:28:00,488,5,1,POS,Success,0,
592,592,3,102665.6,2025-03-20 15:14:00,592,26,4,IMPS,Success,0,
421,421,7,187749.13,2024-03-19 02:35:00,421,29,3,NETBANKING,Success,1,High Amount Transaction
605,605,8,174828.73,2025-05-01 06:38:00,605,20,7,ATM,Success,0,
321,321,5,556807.49,2025-03-13 08:36:00,321,6,3,POS,Success,0,
895,895,3,126169.18,2024-08-13 10:48:00,895,10,4,NETBANKING,Success,0,
933,933,10,611661.75,2024-03-24 21:16:00,933,18,7,POS,Success,0,
770,770,8,560851.12,2025-02-04 17:05:00,770,15,5,NETBANKING,Success,0,
562,562,10,54690.68,2024-05-17 18:50:00,562,7,6,POS,Success,0,
801,801,5,442935.59,2024-03-24 20:34:00,801,6,1,ATM,Success,0,
970,970,2,452407.14,2024-01-17 06:42:00,970,20,5,NETBANKING,Success,0,
420,420,7,556649.46,2024-03-16 12:21:00,420,15,5,NETBANKING,Pending,0,
845,845,1,289893.74,2024-08-17 22:30:00,845,20,9,NETBANKING,Success,0,
786,786,4,517384.08,2025-02-11 14:41:00,786,5,2,ATM,Success,0,
267,267,9,45930.9,2025-01-29 12:26:00,267,12,6,RTGS,Success,0,
401,401,10,11368.98,2024-07-09 12:22:00,401,17,2,NETBANKING,Success,0,
601,601,6,2120.75,2024-09-08 23:28:00,601,14,10,NETBANKING,Success,0,
166,166,9,541326.34,2024-07-09 01:30:00,166,23,1,UPI,Success,0,
846,846,8,297728.31,2025-01-15 05:47:00,846,27,2,POS,Success,0,
420,420,9,311087.89,2024-09-06 04:39:00,420,18,2,NETBANKING,Success,0,
174,174,7,234980.34,2024-04-23 15:37:00,174,25,8,RTGS,Success,0,
759,759,1,551899.8,2024-05-29 11:03:00,759,12,2,NETBANKING,Pending,0,
303,303,4,178102.12,2024-12-04 06:47:00,303,22,4,ATM,Success,0,
396,396,9,377306.75,2024-06-21 22:41:00,396,5,1,IMPS,Failed,0,
313,313,5,216399.62,2025-01-16 08:45:00,313,18,10,IMPS,Success,0,
830,830,6,667823.9,2024-08-14 19:57:00,830,14,10,UPI,Success,0,
